Main initialized Clean Sweeper Robot program on 2019-11-18 at 00:23:04
ConfigMngr initialized Configuration Manager on 2019-11-18 at 00:23:09
Layout initialized making singleton Layout on 2019-11-18 at 00:23:09
Layout is reading initial.json on 2019-11-18 at 00:23:09
Layout initialized number of rows on 2019-11-18 at 00:23:09
Layout initialized number of rows on 2019-11-18 at 00:23:09
Layout initialized Cell : (0,0) , forward : true , back : false , left : false , right : true , dirt : 0 , type : low, with coordinnates of grid[0.0][0.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (0,1) , forward : true , back : false , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[0.0][1.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (0,2) , forward : true , back : false , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[0.0][2.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (0,3) , forward : true , back : false , left : true , right : false , dirt : 0 , type : low, with coordinnates of grid[0.0][3.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (0,4) , forward : true , back : false , left : false , right : true , dirt : 0 , type : bare, with coordinnates of grid[0.0][4.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (0,5) , forward : true , back : false , left : true , right : false , dirt : 0 , type : bare, with coordinnates of grid[0.0][5.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (0,6) , forward : true , back : false , left : false , right : true , dirt : 0 , type : bare, with coordinnates of grid[0.0][6.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (0,7) , forward : true , back : false , left : true , right : true , dirt : 0 , type : bare, with coordinnates of grid[0.0][7.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (0,8) , forward : true , back : false , left : true , right : true , dirt : 0 , type : bare, with coordinnates of grid[0.0][8.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (0,9) , forward : true , back : false , left : true , right : false , dirt : 0 , type : bare, with coordinnates of grid[0.0][9.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (1,0) , forward : true , back : true , left : false , right : true , dirt : 0 , type : low, with coordinnates of grid[1.0][0.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (1,1) , forward : true , back : true , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[1.0][1.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (1,2) , forward : true , back : true , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[1.0][2.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (1,3) , forward : true , back : true , left : true , right : false , dirt : 0 , type : low, with coordinnates of grid[1.0][3.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (1,4) , forward : true , back : true , left : false , right : true , dirt : 0 , type : bare, with coordinnates of grid[1.0][4.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (1,5) , forward : true , back : true , left : true , right : false , dirt : 0 , type : bare, with coordinnates of grid[1.0][5.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (1,6) , forward : true , back : true , left : false , right : true , dirt : 0 , type : bare, with coordinnates of grid[1.0][6.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (1,7) , forward : true , back : true , left : true , right : true , dirt : 0 , type : high, with coordinnates of grid[1.0][7.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (1,8) , forward : true , back : true , left : true , right : true , dirt : 0 , type : high, with coordinnates of grid[1.0][8.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (1,9) , forward : true , back : true , left : true , right : false , dirt : 0 , type : bare, with coordinnates of grid[1.0][9.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (2,0) , forward : true , back : true , left : false , right : true , dirt : 0 , type : low, with coordinnates of grid[2.0][0.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (2,1) , forward : true , back : true , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[2.0][1.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (2,2) , forward : true , back : true , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[2.0][2.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (2,3) , forward : true , back : true , left : true , right : false , dirt : 0 , type : low, with coordinnates of grid[2.0][3.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (2,4) , forward : true , back : true , left : false , right : true , dirt : 0 , type : bare, with coordinnates of grid[2.0][4.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (2,5) , forward : true , back : true , left : true , right : false , dirt : 0 , type : bare, with coordinnates of grid[2.0][5.0] on 2019-11-18 at 00:23:09
Layout initialized Cell : (2,6) , forward : true , back : true , left : false , right : true , dirt : 0 , type : bare, with coordinnates of grid[2.0][6.0] on 2019-11-18 at 00:23:09
