Main initialized Clean Sweeper Robot program on 2019-11-17 at 18:28:16
ConfigMngr initialized Configuration Manager on 2019-11-17 at 18:28:26
Layout initialized making singleton Layout on 2019-11-17 at 18:28:26
Layout is reading initial.json on 2019-11-17 at 18:28:26
Layout initialized number of rows on 2019-11-17 at 18:28:26
Layout initialized number of rows on 2019-11-17 at 18:28:26
Layout initialized Cell : (0,0) , forward : true , back : false , left : false , right : true , dirt : 0 , type : low, with coordinnates of grid[0.0][0.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (0,1) , forward : true , back : false , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[0.0][1.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (0,2) , forward : true , back : false , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[0.0][2.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (0,3) , forward : true , back : false , left : true , right : false , dirt : 0 , type : low, with coordinnates of grid[0.0][3.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (0,4) , forward : true , back : false , left : false , right : true , dirt : 0 , type : bare, with coordinnates of grid[0.0][4.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (0,5) , forward : true , back : false , left : true , right : false , dirt : 0 , type : bare, with coordinnates of grid[0.0][5.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (0,6) , forward : true , back : false , left : false , right : true , dirt : 0 , type : bare, with coordinnates of grid[0.0][6.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (0,7) , forward : true , back : false , left : true , right : true , dirt : 0 , type : bare, with coordinnates of grid[0.0][7.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (0,8) , forward : true , back : false , left : true , right : true , dirt : 0 , type : bare, with coordinnates of grid[0.0][8.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (0,9) , forward : true , back : false , left : true , right : false , dirt : 0 , type : bare, with coordinnates of grid[0.0][9.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (1,0) , forward : true , back : true , left : false , right : true , dirt : 0 , type : low, with coordinnates of grid[1.0][0.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (1,1) , forward : true , back : true , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[1.0][1.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (1,2) , forward : true , back : true , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[1.0][2.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (1,3) , forward : true , back : true , left : true , right : false , dirt : 0 , type : low, with coordinnates of grid[1.0][3.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (1,4) , forward : true , back : true , left : false , right : true , dirt : 0 , type : bare, with coordinnates of grid[1.0][4.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (1,5) , forward : true , back : true , left : true , right : false , dirt : 0 , type : bare, with coordinnates of grid[1.0][5.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (1,6) , forward : true , back : true , left : false , right : true , dirt : 0 , type : bare, with coordinnates of grid[1.0][6.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (1,7) , forward : true , back : true , left : true , right : true , dirt : 0 , type : high, with coordinnates of grid[1.0][7.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (1,8) , forward : true , back : true , left : true , right : true , dirt : 0 , type : high, with coordinnates of grid[1.0][8.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (1,9) , forward : true , back : true , left : true , right : false , dirt : 0 , type : bare, with coordinnates of grid[1.0][9.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (2,0) , forward : true , back : true , left : false , right : true , dirt : 0 , type : low, with coordinnates of grid[2.0][0.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (2,1) , forward : true , back : true , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[2.0][1.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (2,2) , forward : true , back : true , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[2.0][2.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (2,3) , forward : true , back : true , left : true , right : false , dirt : 0 , type : low, with coordinnates of grid[2.0][3.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (2,4) , forward : true , back : true , left : false , right : true , dirt : 0 , type : bare, with coordinnates of grid[2.0][4.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (2,5) , forward : true , back : true , left : true , right : false , dirt : 0 , type : bare, with coordinnates of grid[2.0][5.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (2,6) , forward : true , back : true , left : false , right : true , dirt : 0 , type : bare, with coordinnates of grid[2.0][6.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (2,7) , forward : true , back : true , left : true , right : true , dirt : 0 , type : high, with coordinnates of grid[2.0][7.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (2,8) , forward : true , back : true , left : true , right : true , dirt : 0 , type : high, with coordinnates of grid[2.0][8.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (2,9) , forward : true , back : true , left : true , right : false , dirt : 0 , type : bare, with coordinnates of grid[2.0][9.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (3,0) , forward : true , back : true , left : false , right : true , dirt : 0 , type : low, with coordinnates of grid[3.0][0.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (3,1) , forward : true , back : true , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[3.0][1.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (3,2) , forward : true , back : true , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[3.0][2.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (3,3) , forward : true , back : true , left : true , right : false , dirt : 0 , type : low, with coordinnates of grid[3.0][3.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (3,4) , forward : true , back : true , left : false , right : true , dirt : 0 , type : bare, with coordinnates of grid[3.0][4.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (3,5) , forward : true , back : true , left : true , right : false , dirt : 0 , type : bare, with coordinnates of grid[3.0][5.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (3,6) , forward : true , back : true , left : false , right : true , dirt : 0 , type : bare, with coordinnates of grid[3.0][6.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (3,7) , forward : true , back : true , left : true , right : true , dirt : 0 , type : high, with coordinnates of grid[3.0][7.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (3,8) , forward : true , back : true , left : true , right : true , dirt : 0 , type : high, with coordinnates of grid[3.0][8.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (3,9) , forward : true , back : true , left : true , right : false , dirt : 0 , type : bare, with coordinnates of grid[3.0][9.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (4,0) , forward : false , back : true , left : false , right : true , dirt : 0 , type : low, with coordinnates of grid[4.0][0.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (4,1) , forward : false , back : true , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[4.0][1.0] on 2019-11-17 at 18:28:26
Layout initialized Cell : (4,2) , forward : false , back : true , left : true , right : true , dirt : 0 , type : low, with coordinnates of grid[4.0][2.0] on 2019-11-17 at 18:28:
